응대ID,고객ID,제품ID,응대일시,응대채널,응대자,문의유형,상태,응대시간(분),만족도,처리완료일시,비고
SVC002375,CUST00850,PROD0005,2024-02-24 19:00:00,전화,상담원8,서비스 문의,미해결,5,매우불만족,2024-02-04 14:14:00,
SVC002376,CUST00911,PROD0020,2024-03-20 06:35:00,라이브채팅,상담원17,제품 불량,대기중,67,매우만족,2024-04-01 20:12:00,긴급 처리
SVC002377,CUST00819,PROD0039,2024-02-21 20:59:00,이메일,상담원17,가격 정보 문의,진행중,101,보통,2024-02-10 07:22:00,
SVC002378,CUST00141,PROD0039,2024-01-09 07:17:00,라이브채팅,상담원18,가격 정보 문의,대기중,117,만족,2024-01-05 00:18:00,
SVC002379,CUST00083,PROD0013,2024-01-22 18:36:00,라이브채팅,상담원4,반품/교환,해결완료,83,매우만족,,
SVC002380,CUST00177,PROD0041,2024-01-12 18:50:00,라이브채팅,상담원15,반품/교환,대기중,33,보통,2024-05-23 04:35:00,영구차단 고객
SVC002381,CUST00198,PROD0045,2024-05-03 01:03:00,카톡,상담원2,프로모션 문의,해결완료,70,매우만족,2024-01-28 17:07:00,
SVC002382,CUST00624,PROD0012,2024-03-21 02:19:00,카톡,상담원2,제품 문의,해결완료,79,만족,2024-01-18 20:11:00,
SVC002383,CUST00568,PROD0013,2024-01-03 11:48:00,카톡,상담원10,배송 지연,대기중,57,매우만족,2024-03-24 11:36:00,
SVC002384,CUST00972,PROD0010,2024-03-13 12:32:00,라이브채팅,상담원3,계정 문제,해결완료,102,만족,,긴급 처리
SVC002385,CUST00691,PROD0033,2024-02-19 10:48:00,이메일,상담원8,프로모션 문의,해결완료,109,만족,2024-04-11 03:56:00,
SVC002386,CUST00421,PROD0040,2024-04-10 23:22:00,라이브채팅,상담원20,반품/교환,해결완료,23,만족,,
SVC002387,CUST00401,PROD0016,2024-02-03 22:43:00,전화,상담원7,계정 문제,해결완료,70,만족,2024-02-14 07:03:00,
SVC002388,CUST00698,PROD0045,2024-01-25 10:26:00,이메일,상담원12,결제 오류,대기중,116,매우만족,,
SVC002389,CUST00471,PROD0035,2024-05-08 03:32:00,카톡,상담원19,계정 문제,진행중,88,보통,2024-01-14 02:08:00,영구차단 고객
SVC002390,CUST00218,PROD0003,2024-02-08 00:37:00,SNS,상담원15,제품 불량,해결완료,109,불만족,2024-05-13 04:29:00,
SVC002391,CUST00925,PROD0005,2024-04-07 15:37:00,이메일,상담원14,가격 정보 문의,해결완료,56,매우만족,,
SVC002392,CUST00929,PROD0026,2024-01-10 09:10:00,카톡,상담원16,반품/교환,해결완료,35,만족,,
SVC002393,CUST00828,PROD0011,2024-02-08 21:29:00,이메일,상담원14,가격 정보 문의,해결완료,64,보통,2024-02-14 06:57:00,재문의 필요
SVC002394,CUST00987,PROD0007,2024-01-21 20:05:00,이메일,상담원3,프로모션 문의,대기중,72,만족,,
SVC002395,CUST00729,PROD0010,2024-02-29 06:51:00,라이브채팅,상담원18,서비스 문의,해결완료,97,만족,2024-06-09 13:04:00,재문의 필요
SVC002396,CUST00632,PROD0042,2024-06-23 20:09:00,전화,상담원6,반품/교환,대기중,34,보통,2024-02-02 00:41:00,영구차단 고객
SVC002397,CUST00951,PROD0034,2024-02-11 16:33:00,SNS,상담원17,반품/교환,해결완료,17,매우만족,2024-05-16 22:23:00,영구차단 고객
SVC002398,CUST00906,PROD0003,2024-06-04 20:33:00,카톡,상담원14,기술 지원,해결완료,19,만족,,
SVC002399,CUST00175,PROD0008,2024-03-28 14:50:00,이메일,상담원14,가격 정보 문의,해결완료,24,만족,2024-04-21 10:14:00,영구차단 고객
SVC002400,CUST00023,PROD0031,2024-02-03 10:18:00,SNS,상담원20,반품/교환,해결완료,38,매우만족,2024-03-07 09:24:00,재문의 필요
SVC002401,CUST00725,PROD0011,2024-04-02 19:54:00,이메일,상담원13,서비스 문의,대기중,96,만족,2024-03-19 20:11:00,재문의 필요
SVC002402,CUST00917,PROD0045,2024-04-20 01:57:00,전화,상담원3,서비스 문의,해결완료,24,보통,2024-04-22 13:14:00,재문의 필요
SVC002403,CUST00235,PROD0007,2024-06-23 12:15:00,SNS,상담원13,제품 불량,해결완료,54,보통,2024-03-17 12:52:00,긴급 처리
SVC002404,CUST00013,PROD0045,2024-02-23 19:38:00,카톡,상담원2,배송 지연,미해결,93,매우만족,2024-01-28 19:05:00,
SVC002405,CUST00101,PROD0002,2024-01-20 04:36:00,이메일,상담원9,반품/교환,진행중,31,매우불만족,2024-01-02 11:31:00,재문의 필요
SVC002406,CUST00929,PROD0006,2024-06-09 15:06:00,전화,상담원13,서비스 문의,해결완료,34,보통,2024-06-09 06:46:00,긴급 처리
SVC002407,CUST00536,PROD0041,2024-01-04 04:49:00,SNS,상담원8,서비스 문의,미해결,60,만족,2024-02-08 08:15:00,고객 피드백 있음
SVC002408,CUST00876,PROD0032,2024-03-20 17:55:00,이메일,상담원16,제품 불량,해결완료,109,매우만족,2024-04-17 02:31:00,고객 피드백 있음
SVC002409,CUST00523,PROD0020,2024-01-23 15:06:00,이메일,상담원3,기술 지원,대기중,88,만족,2024-05-16 05:10:00,영구차단 고객
SVC002410,CUST00785,PROD0034,2024-04-26 10:10:00,카톡,상담원13,배송 지연,해결완료,69,불만족,2024-01-26 23:43:00,고객 피드백 있음
SVC002411,CUST00452,PROD0050,2024-03-16 05:04:00,전화,상담원4,제품 문의,진행중,103,만족,,
SVC002412,CUST00431,PROD0016,2024-03-12 18:23:00,라이브채팅,상담원18,반품/교환,진행중,59,보통,2024-02-16 12:28:00,재문의 필요
SVC002413,CUST00793,PROD0025,2024-03-31 02:04:00,이메일,상담원2,제품 문의,해결완료,117,만족,2024-05-10 12:54:00,재문의 필요
SVC002414,CUST00606,PROD0012,2024-02-15 22:49:00,SNS,상담원20,제품 문의,진행중,111,만족,2024-04-09 11:59:00,고객 피드백 있음
SVC002415,CUST00713,PROD0007,2024-04-27 08:30:00,카톡,상담원15,프로모션 문의,진행중,28,매우만족,2024-04-12 04:54:00,
SVC002416,CUST00533,PROD0039,2024-03-06 14:41:00,카톡,상담원17,기술 지원,대기중,29,보통,,
SVC002417,CUST00852,PROD0017,2024-02-05 03:36:00,이메일,상담원10,프로모션 문의,대기중,108,만족,2024-06-08 14:56:00,고객 피드백 있음
SVC002418,CUST00979,PROD0045,2024-05-04 01:23:00,이메일,상담원1,가격 정보 문의,진행중,57,매우만족,2024-05-19 14:32:00,
SVC002419,CUST00723,PROD0011,2024-03-14 12:26:00,이메일,상담원6,계정 문제,해결완료,80,만족,2024-03-10 19:18:00,고객 피드백 있음
SVC002420,CUST00652,PROD0006,2024-06-07 21:08:00,라이브채팅,상담원3,제품 불량,진행중,15,불만족,2024-01-21 21:10:00,
SVC002421,CUST00293,PROD0023,2024-04-22 11:32:00,이메일,상담원19,서비스 문의,대기중,98,보통,2024-06-12 06:23:00,
SVC002422,CUST00810,PROD0027,2024-06-08 10:23:00,전화,상담원7,서비스 문의,해결완료,64,만족,,
SVC002423,CUST00913,PROD0046,2024-01-22 21:26:00,SNS,상담원13,배송 지연,진행중,81,매우불만족,2024-01-28 16:19:00,긴급 처리
SVC002424,CUST00101,PROD0006,2024-05-09 14:16:00,이메일,상담원13,기술 지원,진행중,51,매우만족,2024-05-03 09:09:00,긴급 처리
SVC002425,CUST00502,PROD0038,2024-06-23 01:39:00,라이브채팅,상담원17,서비스 문의,미해결,29,매우만족,,긴급 처리
SVC002426,CUST00304,PROD0002,2024-06-13 01:47:00,SNS,상담원1,프로모션 문의,진행중,29,매우만족,2024-03-10 06:19:00,
SVC002427,CUST00871,PROD0022,2024-03-03 22:52:00,카톡,상담원14,계정 문제,해결완료,21,매우만족,,
SVC002428,CUST00540,PROD0020,2024-05-23 00:09:00,이메일,상담원3,프로모션 문의,진행중,16,매우만족,2024-04-06 17:09:00,재문의 필요
SVC002429,CUST00553,PROD0025,2024-01-27 09:24:00,SNS,상담원14,제품 문의,대기중,119,보통,2024-02-08 02:21:00,
SVC002430,CUST00355,PROD0015,2024-02-10 18:25:00,카톡,상담원1,가격 정보 문의,대기중,56,보통,2024-04-20 08:38:00,긴급 처리
SVC002431,CUST00303,PROD0049,2024-01-19 07:24:00,라이브채팅,상담원16,서비스 문의,대기중,15,보통,2024-04-01 05:22:00,영구차단 고객
SVC002432,CUST00496,PROD0029,2024-04-28 21:05:00,전화,상담원10,제품 문의,대기중,14,보통,,
SVC002433,CUST00658,PROD0008,2024-03-30 14:29:00,이메일,상담원13,서비스 문의,해결완료,85,보통,2024-01-05 12:42:00,
SVC002434,CUST00768,PROD0037,2024-06-13 17:57:00,전화,상담원4,반품/교환,진행중,64,매우만족,2024-03-13 20:52:00,
SVC002435,CUST00974,PROD0049,2024-04-29 03:05:00,라이브채팅,상담원9,결제 오류,대기중,58,보통,,재문의 필요
SVC002436,CUST00227,PROD0033,2024-02-16 23:06:00,SNS,상담원14,제품 불량,해결완료,113,만족,,
SVC002437,CUST00236,PROD0022,2024-04-11 13:12:00,SNS,상담원4,제품 불량,해결완료,84,매우불만족,2024-06-05 15:49:00,
SVC002438,CUST00873,PROD0050,2024-04-12 10:04:00,라이브채팅,상담원10,서비스 문의,대기중,67,매우만족,,
SVC002439,CUST00892,PROD0047,2024-03-22 10:38:00,라이브채팅,상담원8,계정 문제,대기중,24,매우만족,2024-05-15 04:29:00,
SVC002440,CUST00455,PROD0005,2024-05-04 06:44:00,이메일,상담원3,기술 지원,미해결,117,보통,,
SVC002441,CUST00013,PROD0039,2024-05-01 03:17:00,카톡,상담원7,배송 지연,미해결,9,보통,2024-04-19 07:19:00,재문의 필요
SVC002442,CUST00210,PROD0018,2024-04-26 01:34:00,전화,상담원10,계정 문제,해결완료,45,매우만족,,
SVC002443,CUST00741,PROD0038,2024-02-09 15:09:00,전화,상담원3,기술 지원,미해결,67,만족,2024-03-14 16:55:00,재문의 필요
SVC002444,CUST00397,PROD0037,2024-06-12 06:20:00,SNS,상담원2,계정 문제,해결완료,60,매우만족,2024-02-15 23:04:00,
SVC002445,CUST00100,PROD0030,2024-05-25 01:38:00,SNS,상담원15,반품/교환,대기중,36,매우불만족,2024-03-11 18:51:00,
SVC002446,CUST00031,PROD0031,2024-04-07 01:59:00,이메일,상담원9,계정 문제,해결완료,31,매우만족,2024-01-06 12:25:00,고객 피드백 있음
SVC002447,CUST00898,PROD0010,2024-04-02 13:30:00,라이브채팅,상담원15,배송 지연,해결완료,72,매우만족,,영구차단 고객
SVC002448,CUST00528,PROD0015,2024-02-24 01:13:00,전화,상담원17,제품 불량,미해결,109,매우만족,2024-03-29 03:52:00,영구차단 고객
SVC002449,CUST00649,PROD0042,2024-01-06 21:27:00,이메일,상담원7,계정 문제,해결완료,52,만족,,
SVC002450,CUST00329,PROD0048,2024-03-10 08:40:00,SNS,상담원20,프로모션 문의,진행중,11,매우만족,,
SVC002451,CUST00166,PROD0044,2024-02-15 02:09:00,SNS,상담원18,기술 지원,해결완료,50,보통,,고객 피드백 있음
SVC002452,CUST00459,PROD0018,2024-01-18 08:25:00,전화,상담원15,가격 정보 문의,해결완료,82,불만족,2024-04-04 09:12:00,재문의 필요
SVC002453,CUST00822,PROD0023,2024-01-21 09:55:00,SNS,상담원18,기술 지원,해결완료,107,매우만족,2024-03-12 02:51:00,재문의 필요
SVC002454,CUST00952,PROD0033,2024-04-25 13:33:00,SNS,상담원12,제품 불량,진행중,92,보통,2024-03-04 00:07:00,영구차단 고객
SVC002455,CUST00982,PROD0016,2024-02-24 21:57:00,카톡,상담원8,계정 문제,해결완료,116,매우만족,2024-01-14 09:39:00,고객 피드백 있음
SVC002456,CUST00993,PROD0038,2024-03-07 05:53:00,라이브채팅,상담원2,프로모션 문의,해결완료,22,만족,2024-05-15 13:00:00,
SVC002457,CUST00100,PROD0035,2024-01-14 02:57:00,SNS,상담원2,계정 문제,대기중,42,매우만족,2024-03-02 15:09:00,
SVC002458,CUST00621,PROD0034,2024-04-19 10:48:00,카톡,상담원5,계정 문제,해결완료,107,매우만족,,고객 피드백 있음
SVC002459,CUST00855,PROD0028,2024-03-17 05:12:00,이메일,상담원1,서비스 문의,해결완료,119,보통,2024-05-09 12:03:00,긴급 처리
SVC002460,CUST00173,PROD0002,2024-03-30 13:30:00,SNS,상담원4,반품/교환,미해결,108,매우만족,2024-02-21 05:03:00,고객 피드백 있음
SVC002461,CUST00749,PROD0030,2024-05-01 17:44:00,이메일,상담원6,배송 지연,해결완료,69,불만족,2024-02-21 03:38:00,
SVC002462,CUST00162,PROD0013,2024-02-11 22:27:00,SNS,상담원13,반품/교환,해결완료,21,보통,2024-05-31 19:38:00,재문의 필요
SVC002463,CUST00905,PROD0041,2024-03-31 22:36:00,전화,상담원19,가격 정보 문의,대기중,94,보통,2024-01-13 02:05:00,재문의 필요
SVC002464,CUST00728,PROD0016,2024-04-09 00:35:00,카톡,상담원11,제품 불량,대기중,119,매우불만족,2024-01-09 00:13:00,고객 피드백 있음
SVC002465,CUST00776,PROD0005,2024-06-01 06:04:00,카톡,상담원13,계정 문제,대기중,90,매우불만족,,영구차단 고객
SVC002466,CUST00263,PROD0028,2024-06-19 18:39:00,전화,상담원8,결제 오류,미해결,107,만족,2024-01-30 07:06:00,
SVC002467,CUST00804,PROD0039,2024-02-07 10:42:00,라이브채팅,상담원7,반품/교환,해결완료,86,만족,2024-05-07 23:06:00,
SVC002468,CUST00274,PROD0045,2024-03-22 00:09:00,카톡,상담원13,제품 문의,미해결,42,만족,2024-04-29 20:35:00,
SVC002469,CUST00003,PROD0020,2024-04-27 04:31:00,이메일,상담원1,결제 오류,미해결,96,보통,2024-01-27 20:48:00,재문의 필요
SVC002470,CUST00028,PROD0024,2024-03-22 03:50:00,카톡,상담원6,반품/교환,대기중,89,만족,2024-02-09 11:43:00,재문의 필요
SVC002471,CUST00326,PROD0027,2024-06-21 13:16:00,라이브채팅,상담원7,제품 문의,해결완료,67,매우불만족,2024-01-14 23:32:00,긴급 처리
SVC002472,CUST00940,PROD0030,2024-05-13 23:00:00,이메일,상담원16,제품 불량,대기중,106,매우만족,,고객 피드백 있음
SVC002473,CUST00149,PROD0045,2024-04-25 04:40:00,이메일,상담원15,계정 문제,해결완료,101,만족,2024-03-13 20:29:00,
SVC002474,CUST00540,PROD0027,2024-04-25 20:37:00,전화,상담원20,프로모션 문의,대기중,98,만족,2024-03-25 11:58:00,
SVC002475,CUST00488,PROD0026,2024-01-25 01:13:00,SNS,상담원2,프로모션 문의,해결완료,46,불만족,,
SVC002476,CUST00822,PROD0007,2024-02-18 13:44:00,전화,상담원16,반품/교환,대기중,12,매우만족,,
SVC002477,CUST00438,PROD0042,2024-05-19 05:38:00,SNS,상담원17,계정 문제,진행중,34,만족,,고객 피드백 있음
SVC002478,CUST00065,PROD0047,2024-04-06 06:22:00,전화,상담원15,반품/교환,해결완료,107,만족,2024-02-27 10:33:00,긴급 처리
SVC002479,CUST00356,PROD0038,2024-02-23 06:43:00,SNS,상담원3,제품 불량,대기중,68,매우만족,,
SVC002480,CUST00533,PROD0005,2024-05-27 00:23:00,카톡,상담원4,제품 문의,진행중,13,만족,,영구차단 고객
SVC002481,CUST00252,PROD0023,2024-04-03 00:19:00,이메일,상담원12,계정 문제,진행중,101,만족,2024-02-12 17:33:00,고객 피드백 있음
SVC002482,CUST00235,PROD0028,2024-03-19 16:52:00,SNS,상담원5,결제 오류,해결완료,61,매우만족,2024-04-23 16:47:00,
SVC002483,CUST00227,PROD0034,2024-02-01 22:31:00,카톡,상담원17,제품 문의,대기중,111,만족,,
SVC002484,CUST00525,PROD0015,2024-06-15 14:26:00,라이브채팅,상담원6,결제 오류,진행중,63,매우불만족,,
SVC002485,CUST00313,PROD0032,2024-04-15 11:22:00,전화,상담원10,결제 오류,해결완료,97,매우불만족,2024-01-15 22:14:00,
SVC002486,CUST00049,PROD0026,2024-05-18 13:33:00,라이브채팅,상담원18,제품 불량,진행중,99,만족,2024-04-16 03:27:00,
SVC002487,CUST00118,PROD0048,2024-03-26 03:59:00,카톡,상담원10,배송 지연,대기중,71,만족,,
SVC002488,CUST00054,PROD0031,2024-02-15 14:27:00,라이브채팅,상담원6,배송 지연,진행중,118,매우만족,2024-01-29 19:30:00,
SVC002489,CUST00650,PROD0019,2024-04-05 05:35:00,라이브채팅,상담원6,계정 문제,해결완료,106,매우불만족,2024-02-09 04:57:00,
SVC002490,CUST00565,PROD0009,2024-06-01 05:34:00,카톡,상담원20,가격 정보 문의,해결완료,79,매우만족,,
SVC002491,CUST00044,PROD0029,2024-04-21 12:18:00,이메일,상담원15,기술 지원,진행중,9,만족,2024-05-30 20:24:00,
SVC002492,CUST00815,PROD0039,2024-06-17 22:43:00,SNS,상담원4,배송 지연,미해결,99,매우만족,,
SVC002493,CUST00053,PROD0004,2024-04-21 20:18:00,전화,상담원16,계정 문제,대기중,88,만족,2024-01-31 17:12:00,고객 피드백 있음
SVC002494,CUST00586,PROD0003,2024-06-28 19:59:00,SNS,상담원8,결제 오류,해결완료,8,매우만족,2024-02-28 01:28:00,영구차단 고객
SVC002495,CUST00558,PROD0029,2024-01-26 02:51:00,전화,상담원7,프로모션 문의,해결완료,12,보통,2024-05-23 03:57:00,고객 피드백 있음
SVC002496,CUST00525,PROD0011,2024-01-27 02:41:00,SNS,상담원19,배송 지연,진행중,46,만족,2024-02-16 09:35:00,고객 피드백 있음
SVC002497,CUST00677,PROD0033,2024-01-05 19:59:00,라이브채팅,상담원17,제품 불량,대기중,39,만족,,긴급 처리
SVC002498,CUST00102,PROD0038,2024-04-15 03:31:00,이메일,상담원13,계정 문제,해결완료,17,매우만족,2024-05-20 11:50:00,긴급 처리
SVC002499,CUST00792,PROD0011,2024-06-08 17:06:00,라이브채팅,상담원15,기술 지원,대기중,117,불만족,2024-05-08 01:00:00,
SVC002500,CUST00770,PROD0027,2024-06-11 14:32:00,이메일,상담원2,반품/교환,해결완료,9,매우만족,,
SVC002501,CUST00982,PROD0033,2024-05-28 01:42:00,카톡,상담원10,가격 정보 문의,해결완료,44,만족,,
SVC002502,CUST00849,PROD0021,2024-03-15 13:13:00,전화,상담원13,결제 오류,해결완료,23,보통,2024-02-19 04:13:00,
SVC002503,CUST00868,PROD0039,2024-02-27 14:35:00,전화,상담원18,결제 오류,대기중,86,매우불만족,2024-02-17 05:52:00,영구차단 고객
SVC002504,CUST00398,PROD0031,2024-04-07 03:12:00,카톡,상담원11,반품/교환,미해결,101,매우만족,,
SVC002505,CUST00138,PROD0038,2024-04-30 03:22:00,SNS,상담원13,배송 지연,해결완료,8,만족,2024-04-08 19:42:00,재문의 필요
SVC002506,CUST00675,PROD0046,2024-04-28 13:58:00,카톡,상담원19,프로모션 문의,진행중,63,만족,2024-05-21 11:54:00,재문의 필요
SVC002507,CUST00921,PROD0002,2024-06-14 22:50:00,카톡,상담원5,반품/교환,해결완료,22,불만족,2024-04-11 21:30:00,영구차단 고객
SVC002508,CUST00387,PROD0027,2024-04-11 00:23:00,이메일,상담원3,프로모션 문의,대기중,114,매우만족,,
SVC002509,CUST00111,PROD0036,2024-02-27 16:18:00,카톡,상담원19,결제 오류,진행중,28,만족,2024-06-23 21:22:00,긴급 처리
SVC002510,CUST00614,PROD0011,2024-03-09 21:16:00,전화,상담원13,기술 지원,해결완료,111,매우만족,,
SVC002511,CUST00017,PROD0047,2024-03-19 13:43:00,라이브채팅,상담원5,배송 지연,해결완료,97,매우만족,2024-01-31 07:36:00,
SVC002512,CUST00780,PROD0018,2024-03-02 00:57:00,이메일,상담원12,계정 문제,대기중,35,매우만족,2024-04-03 22:47:00,재문의 필요
SVC002513,CUST00182,PROD0001,2024-04-16 01:00:00,이메일,상담원14,결제 오류,진행중,62,매우불만족,2024-02-06 02:20:00,긴급 처리
SVC002514,CUST00884,PROD0035,2024-01-07 04:50:00,SNS,상담원6,반품/교환,해결완료,32,매우만족,,영구차단 고객
SVC002515,CUST00536,PROD0035,2024-04-05 16:52:00,라이브채팅,상담원9,프로모션 문의,진행중,13,매우불만족,,
SVC002516,CUST00541,PROD0031,2024-06-02 10:21:00,이메일,상담원17,프로모션 문의,대기중,49,매우만족,2024-03-17 04:24:00,긴급 처리
SVC002517,CUST00171,PROD0028,2024-02-13 18:27:00,카톡,상담원8,결제 오류,진행중,94,매우불만족,,긴급 처리
SVC002518,CUST00409,PROD0039,2024-03-02 17:25:00,이메일,상담원13,결제 오류,해결완료,53,보통,2024-01-03 06:12:00,재문의 필요
SVC002519,CUST00740,PROD0001,2024-02-19 19:41:00,이메일,상담원5,기술 지원,진행중,115,매우만족,2024-06-15 16:49:00,
SVC002520,CUST00378,PROD0025,2024-04-10 01:51:00,이메일,상담원17,기술 지원,진행중,6,만족,,
SVC002521,CUST00188,PROD0043,2024-05-27 13:08:00,SNS,상담원3,서비스 문의,진행중,10,만족,2024-03-13 06:44:00,
SVC002522,CUST00858,PROD0038,2024-06-11 12:46:00,이메일,상담원6,반품/교환,미해결,33,만족,2024-01-29 19:34:00,고객 피드백 있음
SVC002523,CUST00230,PROD0020,2024-02-14 12:57:00,이메일,상담원14,제품 불량,해결완료,30,만족,2024-05-27 04:18:00,고객 피드백 있음
SVC002524,CUST00833,PROD0003,2024-03-22 16:10:00,SNS,상담원15,반품/교환,진행중,32,만족,2024-03-15 16:04:00,고객 피드백 있음
SVC002525,CUST00852,PROD0002,2024-04-21 07:06:00,라이브채팅,상담원14,기술 지원,해결완료,11,보통,,
SVC002526,CUST00119,PROD0018,2024-02-02 16:07:00,전화,상담원11,서비스 문의,해결완료,38,보통,,영구차단 고객
SVC002527,CUST00156,PROD0044,2024-06-10 18:50:00,SNS,상담원11,배송 지연,진행중,60,만족,2024-04-18 19:51:00,재문의 필요
SVC002528,CUST00784,PROD0010,2024-04-10 20:58:00,SNS,상담원9,결제 오류,미해결,113,매우불만족,2024-01-04 10:54:00,긴급 처리
SVC002529,CUST00687,PROD0005,2024-03-07 17:10:00,이메일,상담원6,가격 정보 문의,해결완료,14,매우불만족,,
SVC002530,CUST00465,PROD0009,2024-03-23 06:05:00,이메일,상담원15,반품/교환,미해결,116,매우만족,,긴급 처리
SVC002531,CUST00104,PROD0002,2024-01-24 00:27:00,전화,상담원12,반품/교환,해결완료,109,매우만족,2024-01-19 12:30:00,
SVC002532,CUST00604,PROD0034,2024-01-03 20:49:00,이메일,상담원6,제품 문의,해결완료,108,만족,2024-05-20 12:44:00,
SVC002533,CUST00698,PROD0038,2024-05-31 04:01:00,카톡,상담원1,기술 지원,해결완료,61,만족,,재문의 필요
SVC002534,CUST00972,PROD0031,2024-06-07 22:34:00,이메일,상담원16,가격 정보 문의,진행중,51,매우만족,2024-03-03 07:42:00,
SVC002535,CUST00795,PROD0010,2024-01-21 18:24:00,이메일,상담원20,계정 문제,진행중,90,매우만족,2024-06-06 10:14:00,고객 피드백 있음
SVC002536,CUST00502,PROD0050,2024-01-07 23:46:00,카톡,상담원15,제품 문의,해결완료,31,보통,2024-01-24 02:00:00,재문의 필요
SVC002537,CUST00693,PROD0012,2024-02-03 14:40:00,전화,상담원2,제품 불량,해결완료,43,보통,2024-01-31 08:58:00,재문의 필요
SVC002538,CUST00682,PROD0036,2024-06-10 11:11:00,카톡,상담원17,반품/교환,진행중,26,매우만족,2024-03-07 04:31:00,
SVC002539,CUST00699,PROD0021,2024-03-02 20:57:00,SNS,상담원3,서비스 문의,진행중,23,불만족,2024-05-29 13:54:00,긴급 처리
SVC002540,CUST00175,PROD0049,2024-02-26 09:12:00,카톡,상담원3,서비스 문의,해결완료,104,보통,2024-03-22 15:15:00,
SVC002541,CUST00734,PROD0047,2024-05-17 07:46:00,라이브채팅,상담원5,계정 문제,대기중,13,만족,2024-03-23 23:48:00,고객 피드백 있음
SVC002542,CUST00745,PROD0006,2024-04-06 08:42:00,SNS,상담원17,프로모션 문의,진행중,23,보통,2024-01-29 04:34:00,영구차단 고객
SVC002543,CUST00674,PROD0048,2024-01-14 08:05:00,이메일,상담원17,제품 문의,해결완료,6,매우만족,2024-04-24 15:21:00,재문의 필요
SVC002544,CUST00421,PROD0049,2024-02-06 20:01:00,SNS,상담원20,제품 문의,해결완료,96,만족,2024-02-04 07:37:00,
SVC002545,CUST00134,PROD0003,2024-06-12 18:55:00,전화,상담원6,서비스 문의,대기중,65,매우만족,2024-05-24 15:32:00,재문의 필요
SVC002546,CUST00391,PROD0010,2024-01-27 03:29:00,전화,상담원1,서비스 문의,해결완료,63,매우만족,,재문의 필요
SVC002547,CUST00992,PROD0005,2024-06-01 03:06:00,카톡,상담원7,결제 오류,대기중,107,만족,2024-02-09 12:54:00,고객 피드백 있음
SVC002548,CUST00736,PROD0046,2024-02-06 09:16:00,SNS,상담원15,서비스 문의,해결완료,90,매우만족,2024-01-12 21:51:00,긴급 처리
SVC002549,CUST00501,PROD0026,2024-02-16 02:04:00,이메일,상담원7,기술 지원,진행중,119,보통,2024-02-11 07:46:00,
SVC002550,CUST00665,PROD0021,2024-05-06 11:58:00,전화,상담원19,서비스 문의,해결완료,74,보통,2024-02-09 09:50:00,고객 피드백 있음
SVC002551,CUST00033,PROD0045,2024-02-23 12:06:00,이메일,상담원20,제품 문의,미해결,115,매우만족,,
SVC002552,CUST00055,PROD0026,2024-05-05 00:26:00,라이브채팅,상담원11,결제 오류,미해결,75,매우만족,2024-04-04 08:27:00,
SVC002553,CUST00954,PROD0038,2024-01-19 15:40:00,전화,상담원14,제품 불량,미해결,74,보통,2024-04-29 04:02:00,
SVC002554,CUST00519,PROD0044,2024-01-20 06:43:00,카톡,상담원13,제품 문의,해결완료,37,매우만족,2024-04-23 03:01:00,고객 피드백 있음
SVC002555,CUST00756,PROD0026,2024-04-17 12:56:00,라이브채팅,상담원20,서비스 문의,대기중,82,만족,2024-01-16 16:29:00,고객 피드백 있음
SVC002556,CUST00825,PROD0008,2024-03-21 20:58:00,SNS,상담원9,서비스 문의,진행중,69,만족,,재문의 필요
SVC002557,CUST00638,PROD0005,2024-04-25 05:11:00,이메일,상담원9,서비스 문의,대기중,29,불만족,2024-03-08 20:30:00,
SVC002558,CUST00012,PROD0015,2024-03-17 00:57:00,전화,상담원16,결제 오류,해결완료,74,불만족,2024-06-13 07:30:00,긴급 처리
SVC002559,CUST00528,PROD0016,2024-02-15 21:36:00,라이브채팅,상담원12,반품/교환,대기중,32,보통,2024-01-16 06:06:00,재문의 필요
SVC002560,CUST00720,PROD0001,2024-06-10 19:54:00,라이브채팅,상담원10,결제 오류,미해결,22,매우만족,2024-03-19 07:33:00,긴급 처리
SVC002561,CUST00555,PROD0016,2024-01-09 03:21:00,전화,상담원6,배송 지연,해결완료,67,보통,,긴급 처리
SVC002562,CUST00373,PROD0037,2024-03-29 15:39:00,SNS,상담원18,기술 지원,해결완료,95,매우만족,,긴급 처리
SVC002563,CUST00484,PROD0003,2024-06-02 17:00:00,SNS,상담원2,가격 정보 문의,해결완료,53,매우만족,2024-01-19 09:32:00,긴급 처리
SVC002564,CUST00973,PROD0047,2024-02-10 16:47:00,카톡,상담원20,기술 지원,해결완료,70,만족,2024-06-29 14:42:00,
SVC002565,CUST00647,PROD0031,2024-03-06 03:12:00,SNS,상담원9,서비스 문의,진행중,44,보통,,
SVC002566,CUST00228,PROD0013,2024-06-04 00:34:00,카톡,상담원19,가격 정보 문의,대기중,89,매우만족,,
SVC002567,CUST00623,PROD0016,2024-01-06 16:32:00,라이브채팅,상담원6,제품 불량,해결완료,91,매우만족,2024-03-26 08:49:00,
SVC002568,CUST00307,PROD0043,2024-02-09 06:55:00,전화,상담원2,프로모션 문의,진행중,70,보통,2024-06-24 16:25:00,
SVC002569,CUST00457,PROD0021,2024-04-03 03:57:00,SNS,상담원15,제품 문의,해결완료,84,불만족,2024-04-25 05:35:00,
